Gene_symbol	Gene_Ensembl_ID	Dataset	Disease	x_labels	mean	median	sd	plot_api	MONDO	RMTL	EFO
GPC2	ENSG00000213420	PBTA	Meningioma	Brain - Hippocampus (N = 197)	2.21	2.09	1		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Cervix - Endocervix (N = 10)	5.14	3.64	4.09		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Colon - Sigmoid (N = 373)	1.67	1.55	0.83		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Colon - Transverse (N = 406)	2.02	1.92	0.87		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Fallopian Tube (N = 9)	3.32	2.8	1.75		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Kidney - Cortex (N = 85)	0.66	0.48	0.75		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Liver (N = 226)	0.17	0.12	0.2		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Lung (N = 578)	1.52	1.31	1.01		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Minor Salivary Gland (N = 162)	2.06	1.84	1.2		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Muscle - Skeletal (N = 803)	0.45	0.34	0.4		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Nerve - Tibial (N = 619)	3	2.89	1.11		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Ovary (N = 180)	5.42	4.51	3.52		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Pancreas (N = 328)	0.33	0.26	0.32		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Pituitary (N = 283)	2.24	2.04	1.12		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Prostate (N = 245)	2.24	2.08	1.05		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Spleen (N = 241)	3.1	2.8	1.43		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Stomach (N = 359)	0.76	0.65	0.46		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Testis (N = 361)	32.59	32.61	10.03		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Thyroid (N = 653)	1.07	0.95	0.6		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Uterus (N = 142)	6.07	4.65	4.41		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Meningioma	Vagina (N = 156)	3.16	2.98	1.37		MONDO_0016642	Relevant Molecular Target (RMTL version 1.0)	EFO_0003851
GPC2	ENSG00000213420	PBTA	Sarcoma	Sarcoma (N = 6)	1.49	0.76	1.9		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Adrenal Gland (N = 258)	0.72	0.63	0.36		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Artery - Aorta (N = 432)	1.45	1.3	0.74		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Artery - Coronary (N = 240)	1.37	1.14	0.95		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Artery - Tibial (N = 663)	0.75	0.61	0.59		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Bladder (N = 21)	1.98	1.85	1.25		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Blood (N = 755)	1.04	0.8	1.81		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Amygdala (N = 152)	2.29	2.22	0.86		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Cerebellum (N = 456)	3.2	2.78	1.91		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Cortex (N = 255)	1.63	1.53	0.57		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Hippocampus (N = 197)	2.21	2.09	1		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Cervix - Endocervix (N = 10)	5.14	3.64	4.09		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Colon - Sigmoid (N = 373)	1.67	1.55	0.83		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Colon - Transverse (N = 406)	2.02	1.92	0.87		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Fallopian Tube (N = 9)	3.32	2.8	1.75		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Kidney - Cortex (N = 85)	0.66	0.48	0.75		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Liver (N = 226)	0.17	0.12	0.2		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Lung (N = 578)	1.52	1.31	1.01		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Minor Salivary Gland (N = 162)	2.06	1.84	1.2		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Muscle - Skeletal (N = 803)	0.45	0.34	0.4		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Nerve - Tibial (N = 619)	3	2.89	1.11		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Ovary (N = 180)	5.42	4.51	3.52		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Pancreas (N = 328)	0.33	0.26	0.32		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Pituitary (N = 283)	2.24	2.04	1.12		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Prostate (N = 245)	2.24	2.08	1.05		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Spleen (N = 241)	3.1	2.8	1.43		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Stomach (N = 359)	0.76	0.65	0.46		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Testis (N = 361)	32.59	32.61	10.03		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Thyroid (N = 653)	1.07	0.95	0.6		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Uterus (N = 142)	6.07	4.65	4.41		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Sarcoma	Vagina (N = 156)	3.16	2.98	1.37		MONDO_0005089	Relevant Molecular Target (RMTL version 1.0)	EFO_0000691
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Atypical Teratoid Rhabdoid Tumor (N = 30)	3.9	1.8	4.19		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Adrenal Gland (N = 258)	0.72	0.63	0.36		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Artery - Aorta (N = 432)	1.45	1.3	0.74		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Artery - Coronary (N = 240)	1.37	1.14	0.95		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Artery - Tibial (N = 663)	0.75	0.61	0.59		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Bladder (N = 21)	1.98	1.85	1.25		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Blood (N = 755)	1.04	0.8	1.81		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Amygdala (N = 152)	2.29	2.22	0.86		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Cerebellum (N = 456)	3.2	2.78	1.91		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Cortex (N = 255)	1.63	1.53	0.57		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Hippocampus (N = 197)	2.21	2.09	1		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Cervix - Endocervix (N = 10)	5.14	3.64	4.09		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Colon - Sigmoid (N = 373)	1.67	1.55	0.83		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Colon - Transverse (N = 406)	2.02	1.92	0.87		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Fallopian Tube (N = 9)	3.32	2.8	1.75		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Kidney - Cortex (N = 85)	0.66	0.48	0.75		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Liver (N = 226)	0.17	0.12	0.2		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Lung (N = 578)	1.52	1.31	1.01		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Minor Salivary Gland (N = 162)	2.06	1.84	1.2		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Muscle - Skeletal (N = 803)	0.45	0.34	0.4		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Nerve - Tibial (N = 619)	3	2.89	1.11		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Ovary (N = 180)	5.42	4.51	3.52		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Pancreas (N = 328)	0.33	0.26	0.32		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Pituitary (N = 283)	2.24	2.04	1.12		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Prostate (N = 245)	2.24	2.08	1.05		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Spleen (N = 241)	3.1	2.8	1.43		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Stomach (N = 359)	0.76	0.65	0.46		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
GPC2	ENSG00000213420	PBTA	Atypical Teratoid Rhabdoid Tumor	Testis (N = 361)	32.59	32.61	10.03		MONDO_0020560	Relevant Molecular Target (RMTL version 1.0)	EFO_1002008
