gene	ENSG_id	cohort	cancer_group	x_labels	mean	median	sd	efo_code	mondo_code	uberon_code	plot_api
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Cervix - Endocervix (N = 10)	5.14	3.64	4.09	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Colon - Sigmoid (N = 373)	1.67	1.55	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Colon - Transverse (N = 406)	2.02	1.92	0.87	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Fallopian Tube (N = 9)	3.32	2.8	1.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Kidney - Cortex (N = 85)	0.66	0.48	0.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Liver (N = 226)	0.17	0.12	0.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Lung (N = 578)	1.52	1.31	1.01	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Minor Salivary Gland (N = 162)	2.06	1.84	1.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Muscle - Skeletal (N = 803)	0.45	0.34	0.4	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Nerve - Tibial (N = 619)	3	2.89	1.11	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Ovary (N = 180)	5.42	4.51	3.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Pancreas (N = 328)	0.33	0.26	0.32	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Pituitary (N = 283)	2.24	2.04	1.12	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Prostate (N = 245)	2.24	2.08	1.05	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Spleen (N = 241)	3.1	2.8	1.43	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Stomach (N = 359)	0.76	0.65	0.46	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Testis (N = 361)	32.59	32.61	10.03	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Thyroid (N = 653)	1.07	0.95	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Uterus (N = 142)	6.07	4.65	4.41	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Vagina (N = 156)	3.16	2.98	1.37	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Embryonal tumor with multilayer rosettes (N = 7)	Whole Blood (N = 755)	1.04	0.8	1.81	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Neurofibroma/Plexiform (N = 21)	0.48	0.45	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Adrenal Gland (N = 258)	0.72	0.63	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Artery - Aorta (N = 432)	1.45	1.3	0.74	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Artery - Coronary (N = 240)	1.37	1.14	0.95	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Artery - Tibial (N = 663)	0.75	0.61	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Bladder (N = 21)	1.98	1.85	1.25	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Amygdala (N = 152)	2.29	2.22	0.86	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Cerebellar Hemisphere (N = 215)	3.12	2.79	1.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Cerebellum (N = 241)	3.27	2.77	1.98	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Cortex (N = 255)	1.63	1.53	0.57	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Hippocampus (N = 197)	2.21	2.09	1	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Cervix - Endocervix (N = 10)	5.14	3.64	4.09	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Colon - Sigmoid (N = 373)	1.67	1.55	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Colon - Transverse (N = 406)	2.02	1.92	0.87	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Fallopian Tube (N = 9)	3.32	2.8	1.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Kidney - Cortex (N = 85)	0.66	0.48	0.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Liver (N = 226)	0.17	0.12	0.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Lung (N = 578)	1.52	1.31	1.01	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Minor Salivary Gland (N = 162)	2.06	1.84	1.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Muscle - Skeletal (N = 803)	0.45	0.34	0.4	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Nerve - Tibial (N = 619)	3	2.89	1.11	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Ovary (N = 180)	5.42	4.51	3.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Pancreas (N = 328)	0.33	0.26	0.32	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Pituitary (N = 283)	2.24	2.04	1.12	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Prostate (N = 245)	2.24	2.08	1.05	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Spleen (N = 241)	3.1	2.8	1.43	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Stomach (N = 359)	0.76	0.65	0.46	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Testis (N = 361)	32.59	32.61	10.03	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Thyroid (N = 653)	1.07	0.95	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Uterus (N = 142)	6.07	4.65	4.41	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Vagina (N = 156)	3.16	2.98	1.37	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Neurofibroma/Plexiform (N = 21)	Whole Blood (N = 755)	1.04	0.8	1.81	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Diffuse midline glioma (N = 68)	9.14	5.84	9.21	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Adrenal Gland (N = 258)	0.72	0.63	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Artery - Aorta (N = 432)	1.45	1.3	0.74	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Artery - Coronary (N = 240)	1.37	1.14	0.95	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Artery - Tibial (N = 663)	0.75	0.61	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Bladder (N = 21)	1.98	1.85	1.25	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Amygdala (N = 152)	2.29	2.22	0.86	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Cerebellar Hemisphere (N = 215)	3.12	2.79	1.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Cerebellum (N = 241)	3.27	2.77	1.98	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Cortex (N = 255)	1.63	1.53	0.57	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Hippocampus (N = 197)	2.21	2.09	1	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Cervix - Endocervix (N = 10)	5.14	3.64	4.09	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Colon - Sigmoid (N = 373)	1.67	1.55	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Colon - Transverse (N = 406)	2.02	1.92	0.87	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Fallopian Tube (N = 9)	3.32	2.8	1.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Kidney - Cortex (N = 85)	0.66	0.48	0.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Liver (N = 226)	0.17	0.12	0.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Lung (N = 578)	1.52	1.31	1.01	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Minor Salivary Gland (N = 162)	2.06	1.84	1.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Muscle - Skeletal (N = 803)	0.45	0.34	0.4	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Nerve - Tibial (N = 619)	3	2.89	1.11	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Ovary (N = 180)	5.42	4.51	3.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Pancreas (N = 328)	0.33	0.26	0.32	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Pituitary (N = 283)	2.24	2.04	1.12	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Prostate (N = 245)	2.24	2.08	1.05	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Spleen (N = 241)	3.1	2.8	1.43	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Stomach (N = 359)	0.76	0.65	0.46	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Testis (N = 361)	32.59	32.61	10.03	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Thyroid (N = 653)	1.07	0.95	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Uterus (N = 142)	6.07	4.65	4.41	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Vagina (N = 156)	3.16	2.98	1.37	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Diffuse midline glioma (N = 68)	Whole Blood (N = 755)	1.04	0.8	1.81	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Meningioma (N = 29)	0.64	0.54	0.47	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Adrenal Gland (N = 258)	0.72	0.63	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Artery - Aorta (N = 432)	1.45	1.3	0.74	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Artery - Coronary (N = 240)	1.37	1.14	0.95	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Artery - Tibial (N = 663)	0.75	0.61	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Bladder (N = 21)	1.98	1.85	1.25	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Amygdala (N = 152)	2.29	2.22	0.86	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Cerebellar Hemisphere (N = 215)	3.12	2.79	1.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Cerebellum (N = 241)	3.27	2.77	1.98	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Cortex (N = 255)	1.63	1.53	0.57	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Hippocampus (N = 197)	2.21	2.09	1	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Cervix - Endocervix (N = 10)	5.14	3.64	4.09	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Colon - Sigmoid (N = 373)	1.67	1.55	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Colon - Transverse (N = 406)	2.02	1.92	0.87	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Fallopian Tube (N = 9)	3.32	2.8	1.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Kidney - Cortex (N = 85)	0.66	0.48	0.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Liver (N = 226)	0.17	0.12	0.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Lung (N = 578)	1.52	1.31	1.01	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Minor Salivary Gland (N = 162)	2.06	1.84	1.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Muscle - Skeletal (N = 803)	0.45	0.34	0.4	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Nerve - Tibial (N = 619)	3	2.89	1.11	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Ovary (N = 180)	5.42	4.51	3.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Pancreas (N = 328)	0.33	0.26	0.32	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Meningioma (N = 29)	Pituitary (N = 283)	2.24	2.04	1.12	NA	NA	NA	NA
