Gene_Symbol	Disease	Dataset	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
PBRM1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PREX2	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
PIK3C2A	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AP001994.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SHPRH	Ependymoma	PBTA	4/86	4.65%	3/69	4.35%	1/19	5.26%
UBE4B	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
UBR5	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
USP24	Ependymoma	PBTA	6/86	6.98%	6/69	8.70%	0/19	0.00%
VPS13C	Ependymoma	PBTA	3/86	3.49%	2/69	2.90%	1/19	5.26%
RMRP	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
RMRP	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
CNTN4	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ZNF781	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ZNF781	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MALAT1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
7SK	Ependymoma	PBTA	5/86	5.81%	4/69	5.80%	1/19	5.26%
MGMT	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PBRM1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SOX5	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
KRAS	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
Y_RNA	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NTRK3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AL139099.5	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
RN7SL1	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
MAML2	Ependymoma	PBTA	3/86	3.49%	2/69	2.90%	1/19	5.26%
DNAH11	Ependymoma	PBTA	4/86	4.65%	4/69	5.80%	0/19	0.00%
PGM2	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
TMEM108	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
7SK	Ependymoma	PBTA	5/86	5.81%	4/69	5.80%	1/19	5.26%
RPPH1	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
AL031686.1	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
7SK	Ependymoma	PBTA	5/86	5.81%	4/69	5.80%	1/19	5.26%
AC090001.1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
ZNF607	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NTRK3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
VIM	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
RN7SL2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AC090001.1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
ERBB4	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
SARNP	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AL807742.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ADAMTS18	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
RN7SL2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
BMP2K	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
COG6	Ependymoma	PBTA	4/86	4.65%	3/69	4.35%	1/19	5.26%
MAP4K5	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
RALGAPB	Ependymoma	PBTA	3/86	3.49%	2/69	2.90%	1/19	5.26%
TBCK	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
RELA	Ependymoma	PBTA	25/86	29.07%	20/69	28.99%	7/19	36.84%
RELA	Ependymoma	PBTA	25/86	29.07%	20/69	28.99%	7/19	36.84%
AP001317.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PRDM11	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MAP4K2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SPTY2D1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
DNAH11	Ependymoma	PBTA	4/86	4.65%	4/69	5.80%	0/19	0.00%
AC015771.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MTOR	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ATM	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
EIF3F	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
EIF3F	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CHKA	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
TRPM7	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
IFT88	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
YAP1	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
GRID2	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
TAOK1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
THBS1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
USP24	Ependymoma	PBTA	6/86	6.98%	6/69	8.70%	0/19	0.00%
UNC79	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
MYB	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
QKI	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
OPCML	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
PRKCE	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
COG6	Ependymoma	PBTA	4/86	4.65%	3/69	4.35%	1/19	5.26%
DNAH11	Ependymoma	PBTA	4/86	4.65%	4/69	5.80%	0/19	0.00%
FREM1	Ependymoma	PBTA	4/86	4.65%	3/69	4.35%	1/19	5.26%
IFT88	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
RMRP	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
TAOK1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
TP53BP1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
FRYL	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
Y_RNA	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
FYN	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
FYN	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ULK4	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
CNTN4	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
THADA	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
SOX5	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
SOX5	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
RELA	Ependymoma	PBTA	25/86	29.07%	20/69	28.99%	7/19	36.84%
C11orf95	Ependymoma	PBTA	28/86	32.56%	21/69	30.43%	9/19	47.37%
MACROD1	Ependymoma	PBTA	3/86	3.49%	0/69	0.00%	3/19	15.79%
ADGRB3	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
MACROD1	Ependymoma	PBTA	3/86	3.49%	0/69	0.00%	3/19	15.79%
AP002791.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
RELA	Ependymoma	PBTA	25/86	29.07%	20/69	28.99%	7/19	36.84%
LTBP3	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
KAT5	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
RELA	Ependymoma	PBTA	25/86	29.07%	20/69	28.99%	7/19	36.84%
RELA	Ependymoma	PBTA	25/86	29.07%	20/69	28.99%	7/19	36.84%
ARHGEF10	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
KBTBD11-OT1	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
KBTBD11-OT1	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
RELA	Ependymoma	PBTA	25/86	29.07%	20/69	28.99%	7/19	36.84%
FREM1	Ependymoma	PBTA	4/86	4.65%	3/69	4.35%	1/19	5.26%
ARHGEF10	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
ARHGEF10	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
ARHGEF10	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
NUP214	Ependymoma	PBTA	2/86	2.33%	1/69	1.45%	1/19	5.26%
RELA	Ependymoma	PBTA	25/86	29.07%	20/69	28.99%	7/19	36.84%
MACROD1	Ependymoma	PBTA	3/86	3.49%	0/69	0.00%	3/19	15.79%
NBEA	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
RPPH1	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
RMRP	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
RFX3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
FREM1	Ependymoma	PBTA	4/86	4.65%	3/69	4.35%	1/19	5.26%
FREM1	Ependymoma	PBTA	4/86	4.65%	3/69	4.35%	1/19	5.26%
SF1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
LINC00969	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NCOA6	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MYB	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
QKI	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AL355297.4	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
ARID1B	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CAMK1D	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
ULK4	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
ULK4	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
TTC9C	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
GRID2	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
ULK4	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	0/19	0.00%
MAML2	Ependymoma	PBTA	3/86	3.49%	2/69	2.90%	1/19	5.26%
TTC28	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
TTC28	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
DST	Ependymoma	PBTA	5/86	5.81%	4/69	5.80%	1/19	5.26%
VIM	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
7SK	Ependymoma	PBTA	5/86	5.81%	4/69	5.80%	1/19	5.26%
QKI	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
QKI	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
QKI	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ABTB2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CTAGE5	Ependymoma	PBTA	3/86	3.49%	2/69	2.90%	1/19	5.26%
KMT2C	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CTAGE5	Ependymoma	PBTA	3/86	3.49%	2/69	2.90%	1/19	5.26%
NCOA2	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
Y_RNA	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CASP5	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PAFAH1B2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CSTF3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CSTF3-AS1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MIR100HG	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ME3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AP000769.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AP000769.3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CADM1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
HTATIP2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
HTATIP2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MALAT1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
MALAT1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
AL355537.2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CD44	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
DDR2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
IGF2	Ependymoma	PBTA	3/86	3.49%	1/69	1.45%	2/19	10.53%
RNU6-1329P	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
NF1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CADM1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
RMRP	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
ABTB2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ASRGL1	Ependymoma	PBTA	2/86	2.33%	1/69	1.45%	2/19	10.53%
ASRGL1	Ependymoma	PBTA	2/86	2.33%	1/69	1.45%	2/19	10.53%
LRRC4C	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
EIF2AK4	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AC090559.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
FYN	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
OPCML	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
DUSP16	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
AFDN	Ependymoma	PBTA	4/86	4.65%	3/69	4.35%	1/19	5.26%
IGF2	Ependymoma	PBTA	3/86	3.49%	1/69	1.45%	2/19	10.53%
ID3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MAP3K4	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MAST4	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NCOA6	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AL807740.1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
AL928596.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
IGF2	Ependymoma	PBTA	3/86	3.49%	1/69	1.45%	2/19	10.53%
PRR32	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
BMPR1B	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
LINC02485	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
PATJ	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
TM2D1	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
AP001360.2	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
DST	Ependymoma	PBTA	5/86	5.81%	4/69	5.80%	1/19	5.26%
DST	Ependymoma	PBTA	5/86	5.81%	4/69	5.80%	1/19	5.26%
7SK	Ependymoma	PBTA	5/86	5.81%	4/69	5.80%	1/19	5.26%
MALAT1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
EP300	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
MALAT1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
NEK10	Ependymoma	PBTA	6/86	6.98%	6/69	8.70%	0/19	0.00%
NEK10	Ependymoma	PBTA	6/86	6.98%	6/69	8.70%	0/19	0.00%
AL118557.1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
RAB6A	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ERBB4	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
HNRNPA1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
QKI	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NCOA1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
7SK	Ependymoma	PBTA	5/86	5.81%	4/69	5.80%	1/19	5.26%
CLSTN2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PBRM1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
Y_RNA	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
FYN	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
FYN	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
GEMIN8	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
RELA	Ependymoma	PBTA	25/86	29.07%	20/69	28.99%	7/19	36.84%
FGF13	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ADAMTS9	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SYAP1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
RPL21P41	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ADAMTS9	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
WRN	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
Y_RNA	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PATJ	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
HSPE1-MOB4	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MOB4	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
ADAMTS18	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
LINC01121	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
Y_RNA	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CLU	Ependymoma	PBTA	4/86	4.65%	4/69	5.80%	0/19	0.00%
NCOA1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NCOA1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CDH10	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
TTC28	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
CFAP43	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
GREB1L	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SOX5	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
GRK2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
QKI	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CD44	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NF1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NOP14-AS1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AL139099.5	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
RN7SL1	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
EPB41L3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
IGF2	Ependymoma	PBTA	3/86	3.49%	1/69	1.45%	2/19	10.53%
NCOA2	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
NCOA2	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
TMOD2	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
JAG2	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
IGF2	Ependymoma	PBTA	3/86	3.49%	1/69	1.45%	2/19	10.53%
CCDC47	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
MAMLD1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CADM1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
MACROD1	Ependymoma	PBTA	3/86	3.49%	0/69	0.00%	3/19	15.79%
MACROD1	Ependymoma	PBTA	3/86	3.49%	0/69	0.00%	3/19	15.79%
AC010624.1	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
DDR2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SGMS1	Ependymoma	PBTA	2/86	2.33%	1/69	1.45%	1/19	5.26%
PHKB	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
FTH1P12	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
UBAC2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
RALA	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
DYNLRB2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SNAPC3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AGPAT2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
FGF14	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CHD9	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CLSTN2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
KIF21A	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AC002524.1	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
SNAPC3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AL590824.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
BNC2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
KIF21A	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
AC007491.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CHD9	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CHD9	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SLC1A2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PSIP1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PSIP1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PSIP1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PSIP1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PSIP1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
OPCML	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
CSTF3	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
QKI	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
QKI	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
BNC2	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PSIP1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
RAB1B	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
BX119917.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NHSL2	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
SH3KBP1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SH3KBP1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SLC35E1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CPAMD8	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
CHKA	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
PREX2	Ependymoma	PBTA	3/86	3.49%	3/69	4.35%	0/19	0.00%
YIF1A	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
SNRPN	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
EP300	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
DENR	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
BCOR	Ependymoma	PBTA	2/86	2.33%	1/69	1.45%	1/19	5.26%
BCOR	Ependymoma	PBTA	2/86	2.33%	1/69	1.45%	1/19	5.26%
ARHGAP22	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
LCOR	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
PATJ	Ependymoma	PBTA	1/86	1.16%	0/69	0.00%	1/19	5.26%
AP000787.1	Ependymoma	PBTA	1/86	1.16%	1/69	1.45%	0/19	0.00%
NHSL2	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
MAML2	Ependymoma	PBTA	3/86	3.49%	2/69	2.90%	1/19	5.26%
CLU	Ependymoma	PBTA	4/86	4.65%	4/69	5.80%	0/19	0.00%
RMRP	Ependymoma	PBTA	2/86	2.33%	2/69	2.90%	0/19	0.00%
