sample_id	aliquot_id	parental_aliquot_id	extraction_type
7316-3139	739980	RNA [668381]	Same extraction
7316-314	549608	RNA [475623]	Same extraction
7316-3140	711719	RNA [668382]	Same extraction
7316-3147	724091	RNA [723506]	Same extraction
7316-3148	724075	RNA [720408]	Same extraction
7316-3149	724076	RNA [720409]	Same extraction
7316-315	549610	RNA [477330]	Same extraction
7316-3150	724078	RNA [720411]	Same extraction
7316-3151	724079	RNA [723249]	Same extraction
7316-3152	724080	RNA [723250]	Same extraction
7316-3153	724074	RNA [720407]	Same extraction
7316-3154	724077	RNA [720410]	Same extraction
7316-3169	728256	RNA [725584]	Same extraction
7316-319	711734	RNA [667635]	Same extraction
7316-3192	608929	RNA [600531]	Same extraction
7316-32	734517	RNA [555695]	Same extraction
7316-3202	711746	RNA [668173]	Same extraction
7316-3203	711747	RNA [668174]	Same extraction
7316-3204	728278	RNA [727819]	Same extraction
7316-3206	728248	RNA [725630]	Same extraction
7316-3208	728247	RNA [725629]	Same extraction
7316-321	711728	RNA [667626]	Same extraction
7316-322	564470	RNA [560230]	Same extraction
7316-324	588292	RNA [580765]	Same extraction
7316-325	577729	RNA [576849]	Same extraction
7316-329	588308	RNA [581553]	Same extraction
7316-3292	734527	RNA [658782]	Different tissue aliquot
7316-3295	654175	RNA [648534]	Same extraction
7316-3299	654178	RNA [648539]	Same extraction
7316-330	728279	RNA [727820]	Same extraction
7316-3300	711715	RNA [606902]	Same extraction
7316-3303	734524	RNA [644955]	Same extraction
7316-3306	711670	RNA [665662]	Same extraction
7316-3308	711671	RNA [665664]	Same extraction
7316-331	711724	RNA [665955]	Same extraction
7316-3311	711752	RNA [672669]	Same extraction
7316-3312	711712	RNA [606898]	Same extraction
7316-3316	711737	RNA [667946]	Same extraction
7316-3317	711738	RNA [667947]	Same extraction
7316-3319	711675	RNA [607506]	Same extraction
7316-332	571415	RNA [567506]	Same extraction
7316-3323	711672	RNA [665665]	Same extraction
7316-3326	711704	RNA [666250]	Same extraction
7316-333	398057	Not found	Same extraction
7316-3336	739926	RNA [649224]	Same extraction
7316-334	470437	RNA [456741]	Same extraction
7316-3345	739993	RNA [677495]	Same extraction
7316-340	549613	RNA [502643]	Same extraction
7316-341	571435	RNA [569344]	Same extraction
7316-343	401742	Not found	NA
7316-344	734525	RNA [580767]	Same extraction
7316-345	571434	RNA [569343]	Same extraction
7316-346	588362	RNA [584284]	Same extraction
7316-347	549567	RNA [448064]	Different tissue aliquot
7316-3485	724092	RNA [723507]	Same extraction
7316-3488	724084	RNA [723254]	Same extraction
7316-349	731867	RNA [728665]	Same extraction
7316-3491	728257	RNA [725587]	Same extraction
7316-350	588290	RNA [580687]	Same extraction
7316-3504	711759	RNA [677371]	Same extraction
7316-3510	724101	RNA [723825]	Same extraction
7316-3511	717188	RNA [677117]	Same extraction
7316-3513	739989	RNA [677372]	Same extraction
7316-3515	717189	RNA [677118]	Same extraction
7316-3516	728280	RNA [727821]	Same extraction
7316-3519	717190	RNA [677119]	Same extraction
7316-3520	739991	RNA [677374]	Same extraction
7316-3521	739979	RNA [668379]	Same extraction
7316-3522	724102	RNA [723826]	Same extraction
7316-355	739954	RNA [580768]	Same extraction
7316-3554	711739	RNA [667949]	Same extraction
7316-3555	711740	RNA [667951]	Same extraction
7316-3556	711741	RNA [667952]	Same extraction
7316-3557	739984	RNA [667953]	Same extraction
7316-3558	739985	RNA [667954]	Same extraction
7316-356	570112	RNA [562102]	Same extraction
7316-3566	711743	RNA [668168]	Same extraction
7316-3567	728251	RNA [725633]	Same extraction
7316-3570	711744	RNA [668169]	Same extraction
7316-3571	711745	RNA [668170]	Same extraction
7316-3572	734531	RNA [668175]	Same extraction
7316-3574	711750	RNA [672667]	Same extraction
7316-3575	711751	RNA [672668]	Same extraction
7316-3576	739959	RNA [689834]	Same extraction
7316-358	549577	RNA [440133]	Different tissue aliquot
7316-359	588324	RNA [582351]	Same extraction
7316-361	588328	RNA [582973]	Same extraction
7316-362	570113	RNA [562103]	Same extraction
7316-3621	711718	RNA [668380]	Same extraction
7316-3622	711760	RNA [677375]	Same extraction
7316-3623	724103	RNA [723827]	Same extraction
7316-3624	724104	RNA [723828]	Same extraction
7316-3625	728243	RNA [725624]	Same tissue aliquot
7316-3626	728242	RNA [725623]	Same tissue aliquot
7316-3627	724093	RNA [723508]	Same extraction
7316-3628	724094	RNA [723509]	Same extraction
7316-3629	724095	RNA [723510]	Same extraction
7316-3630	724096	RNA [723511]	Same extraction
7316-3631	724097	RNA [723512]	Same extraction
7316-3632	724098	RNA [723513]	Same extraction
7316-364	570114	RNA [562104]	Same extraction
7316-365	739957	RNA [689831]	Same extraction
7316-367	564487	RNA [561565]	Same extraction
7316-368	734536	RNA [733617]	Same tissue aliquot
7316-3680	739987	RNA [672670]	Same extraction
7316-3689	728244	RNA [725626]	Same extraction
7316-370	588329	RNA [582974]	Same extraction
7316-371	734516	RNA [546524]	Different tissue aliquot
7316-373	734518	RNA [562047]	Same extraction
7316-375	588330	RNA [582975]	Same extraction
7316-3751	728259	RNA [725680]	Same extraction
7316-3755	728260	RNA [725681]	Same extraction
7316-3756	728261	RNA [725682]	Same extraction
7316-376	549569	RNA [441625]	Different tissue aliquot
7316-3762	728272	RNA [725896]	Same extraction
7316-3765	728273	RNA [725897]	Same extraction
7316-3768	728250	RNA [725632]	Same extraction
7316-3769	728271	RNA [725895]	Same extraction
7316-377	588293	RNA [580766]	Same extraction
7316-3771	728245	RNA [725627]	Same extraction
7316-3773	717191	RNA [677120]	Same extraction
7316-3774	728246	RNA [725628]	Same extraction
7316-3775	711757	RNA [677369]	Same extraction
7316-3776	739992	RNA [677492]	Same extraction
7316-38	564486	RNA [561564]	Same extraction
7316-380	573168	RNA [571292]	Same extraction
7316-3809	724081	RNA [723251]	Same extraction
7316-381	746070	RNA [534725]	Same extraction
7316-3817	724088	RNA [723258]	Same extraction
7316-382	588337	RNA [582982]	Same extraction
7316-384	549606	RNA [475809]	Same extraction
7316-3844	728262	RNA [725683]	Same extraction
7316-3846	728263	RNA [725684]	Same extraction
7316-3856	724082	RNA [723252]	Same extraction
7316-3857	724083	RNA [723253]	Same extraction
7316-386	549563	RNA [447478]	Same extraction
7316-387	711730	RNA [667628]	Same extraction
7316-388	398449	Not found	NA
7316-389	588295	RNA [580770]	Same extraction
7316-3890	724085	RNA [723255]	Same extraction
7316-3891	724086	RNA [723256]	Same extraction
7316-3892	724087	RNA [723257]	Same extraction
7316-3893	728258	RNA [725588]	Same extraction
7316-39	739964	RNA [581552]	Same extraction
7316-390	588438	RNA [585469]	Same extraction
7316-391	549604	RNA [468962]	Same extraction
7316-3917	728265	RNA [725687]	Same extraction
7316-3919	728266	RNA [725688]	Same extraction
7316-392	401743	Not found	Same extraction
7316-3922	728268	RNA [725690]	Same extraction
7316-3923	728269	RNA [725892]	Same extraction
7316-393	588332	RNA [582977]	Same extraction
7316-3935	724105	RNA [723831]	Same extraction
7316-3936	724106	RNA [723832]	Same extraction
7316-3937	724107	RNA [723833]	Same extraction
7316-394	549591	RNA [468963]	Same extraction
7316-395	739961	RNA [705323]	Same tissue aliquot
7316-3963	734537	RNA [733618]	Different tissue aliquot
7316-397	588320	RNA [582347]	Same extraction
7316-398	570104	RNA [562048]	Same extraction
7316-399	588294	RNA [580769]	Same extraction
7316-400	588331	RNA [582976]	Same extraction
7316-4028	724089	RNA [723259]	Same extraction
7316-4033	724099	RNA [723514]	Same extraction
7316-4034	724100	RNA [723515]	Same extraction
7316-4035	724108	RNA [723835]	Same extraction
7316-405	728293	RNA [727871]	Same extraction
7316-406	571403	RNA [568277]	Same extraction
7316-4062	728270	RNA [725894]	Same extraction
7316-407	588283	RNA [578422]	Same extraction
7316-408	739947	RNA [568271]	Same extraction
7316-409	398448	Not found	Same tissue aliquot
7316-41	549586	RNA [468271]	Same tissue aliquot
7316-423	470419	RNA [455920]	Same extraction
7316-425	470441	RNA [456742]	Same extraction
7316-429	570127	RNA [566829]	Same extraction
7316-430	470019	RNA [415509]	Same extraction
7316-431	570128	RNA [566830]	Same extraction
7316-4341	734538	RNA [733619]	Same extraction
7316-435	549589	RNA [467898]	Same extraction
7316-436	564451	RNA [554625]	Same extraction
7316-437	731868	RNA [728666]	Same extraction
7316-438	588284	RNA [578423]	Same extraction
7316-440	746066	RNA [551468]	Same extraction
7316-441	588439	RNA [585470]	Same extraction
7316-442	549597	RNA [470153]	Same extraction
7316-443	571398	RNA [568272]	Same extraction
7316-445	401741	Not found	Same tissue aliquot
7316-447	588300	RNA [581279]	Same extraction
7316-448	571402	RNA [568276]	Same extraction
7316-449	564468	RNA [559568]	Same extraction
7316-451	571397	RNA [568270]	Same extraction
7316-452	571401	RNA [568275]	Same extraction
7316-455	588317	RNA [582342]	Same extraction
7316-456	570107	RNA [562051]	Same extraction
7316-458	571399	RNA [568273]	Same extraction
7316-459	549601	RNA [468433]	Same extraction
7316-460	574548	RNA [568278]	Same extraction
7316-461	739958	RNA [689832]	Same extraction
7316-462	588301	RNA [581281]	Same extraction
7316-464	746062	RNA [416629]	Same extraction
7316-466	401561	Not found	Same extraction
7316-47	549602	RNA [470148]	Same extraction
7316-470	549594	RNA [468964]	Same extraction
7316-471	564471	RNA [560232]	Same extraction
7316-472	571400	RNA [568274]	Same extraction
7316-474	564472	RNA [560233]	Same extraction
7316-475	588339	RNA [583402]	Same extraction
7316-476	588340	RNA [583403]	Same extraction
7316-477	739950	RNA [568280]	Same extraction
7316-479	734514	RNA [448311]	Different tissue aliquot
7316-480	588319	RNA [582345]	Same extraction
7316-485	570106	RNA [562050]	Same extraction
7316-487	588341	RNA [583404]	Same extraction
7316-488	571426	RNA [569334]	Same extraction
7316-489	549579	RNA [441620]	Same tissue aliquot
7316-490	570108	RNA [562052]	Same extraction
7316-493	570105	RNA [562049]	Same extraction
7316-495	564473	RNA [560234]	Same extraction
7316-496	734515	RNA [490109]	Different tissue aliquot
7316-497	570100	RNA [560235]	Same extraction
7316-498	588342	RNA [583405]	Same extraction
7316-499	571425	RNA [568279]	Same extraction
7316-5	549581	RNA [442019]	Different tissue aliquot
7316-50	601585	RNA [593246]	Same extraction
7316-502	588359	RNA [583310]	Same extraction
7316-505	731887	RNA [729729]	Same extraction
7316-506	588299	RNA [581278]	Same extraction
7316-51	601599	RNA [591584]	Same extraction
7316-512	401962	Not found	Same tissue aliquot
7316-515	711651	RNA [551469]	Same extraction
7316-516	571424	RNA [568197]	Same extraction
7316-519	711764	RNA [603418]	Same extraction
7316-521	731926	RNA [731335]	Same extraction
7316-523	588343	RNA [583406]	Same extraction
7316-525	549578	RNA [441619]	Same tissue aliquot
7316-529	470022	RNA [415510]	Same extraction
7316-532	470434	RNA [458218]	Same extraction
7316-535	577717	RNA [574707]	Same extraction
7316-536	994694	7316-536-RNA [400788]	Same extraction
7316-536	400788	Not found	Same extraction
7316-544	577731	RNA [576851]	Same tissue aliquot
7316-545	739973	RNA [604296]	Same tissue aliquot
7316-548	549596	RNA [469538]	Same extraction
7316-549	549609	RNA [476258]	Same extraction
7316-550	739943	RNA [470310]	Same tissue aliquot
7316-553	564489	RNA [561567]	Same extraction
7316-554	746089	RNA [743150]	Same extraction
7316-556	564478	RNA [560764]	Same extraction
7316-561	739967	RNA [582346]	Same extraction
7316-562	746090	RNA [743151]	Same extraction
7316-6	573165	RNA [571286]	Same extraction
7316-612	746105	RNA [744187]	Same extraction
7316-619	400121	Not found	Same extraction
7316-620	400120	Not found	Same extraction
7316-622	400789	Not found	Same extraction
7316-624	400268	Not found	Same extraction
7316-639	711763	RNA [603417]	Same extraction
7316-641	588309	RNA [581554]	Same extraction
7316-642	731935	RNA [731563]	Same extraction
7316-643	731896	RNA [730407]	Same extraction
7316-644	739975	RNA [604300]	Same extraction
7316-658	573146	RNA [570515]	Same extraction
7316-659	470424	RNA [455921]	Same tissue aliquot
7316-663	728294	RNA [727872]	Same extraction
7316-666	588457	RNA [586304]	Same extraction
7316-670	588289	RNA [580683]	Same extraction
7316-676	731927	RNA [731336]	Same extraction
7316-677	728281	RNA [727822]	Same extraction
7316-681	728252	RNA [725579]	Same extraction
7316-692	549617	RNA [534727]	Same extraction
7316-70	601597	RNA [591581]	Different tissue aliquot
7316-71	470015	RNA [415506]	Different tissue aliquot
7316-714	470018	RNA [415894]	Same tissue aliquot
7316-715	549599	RNA [469539]	Same extraction
7316-716	400787	Not found	Same extraction
7316-719	739976	RNA [604302]	Same extraction
7316-723	731869	RNA [728667]	Same extraction
7316-725	739965	RNA [581557]	Same extraction
7316-726	588311	RNA [581556]	Same extraction
7316-729	711678	RNA [652368]	Same extraction
7316-73	739948	RNA [567507]	Same extraction
7316-733	564457	RNA [555702]	Same extraction
7316-735	728282	RNA [727823]	Same extraction
7316-736	470432	RNA [450680]	Same extraction
7316-737	711665	RNA [650584]	Same extraction
7316-739	731886	RNA [729728]	Same extraction
7316-740	470429	RNA [455486]	Same extraction
7316-741	588458	RNA [586305]	Same extraction
7316-746	588285	RNA [578424]	Same extraction
7316-747	588286	RNA [578425]	Same extraction
7316-749	588461	RNA [586308]	Same extraction
7316-76	588349	RNA [583300]	Same extraction
7316-762	471264	RNA [469540]	Same extraction
7316-764	470427	RNA [455922]	Same extraction
7316-765	470731	Not found	NA
7316-77	601595	RNA [591579]	Different tissue aliquot
7316-775	470421	RNA [462743]	Same extraction
7316-78	564476	RNA [560239]	Same extraction
7316-784	401961	Not found	Same tissue aliquot
7316-80	739946	RNA [563013]	Same extraction
7316-820	570097	RNA [554628]	Same extraction
7316-839	711660	RNA [650577]	Same extraction
7316-84	549593	RNA [468956]	Same extraction
7316-842	711659	RNA [650576]	Same extraction
7316-843	711658	RNA [650575]	Same extraction
7316-85	398059	Not found	NA
7316-85	994693	7316-85-RNA [398059]	Different tissue aliquot
7316-851	739971	RNA [603415]	Same extraction
7316-853	746106	RNA [744189]	Same extraction
7316-869	564474	RNA [560237]	Same extraction
7316-87	1030650	Not found	Different tissue aliquot
7316-87	401963	Not found	Same tissue aliquot
7316-870	398453	Not found	NA
7316-872	470435	RNA [455489]	Same extraction
7316-873	570111	RNA [562056]	Same extraction
7316-874	588321	RNA [582348]	Same extraction
7316-875	734520	RNA [562105]	Same extraction
7316-876	731907	RNA [731072]	Same extraction
7316-877	570110	RNA [562055]	Same extraction
7316-878	549572	RNA [446721]	Same extraction
7316-879	570115	RNA [562106]	Same extraction
7316-88	734540	RNA [733633]	Same tissue aliquot
7316-882	588322	RNA [582349]	Same extraction
7316-884	588323	RNA [582350]	Same extraction
7316-889	571421	RNA [568193]	Same extraction
7316-89	577715	RNA [574705]	Same extraction
7316-891	734522	RNA [569512]	Same extraction
7316-892	588357	RNA [583308]	Same extraction
7316-893	588358	RNA [583309]	Same extraction
7316-894	571437	RNA [569511]	Same extraction
7316-895	470020	RNA [415895]	Same extraction
7316-896	588363	RNA [584285]	Same extraction
7316-897	549568	RNA [448065]	Same tissue aliquot
7316-898	734539	RNA [733620]	Same extraction
7316-9	570098	RNA [554633]	Same extraction
7316-901	588364	RNA [584286]	Same extraction
7316-903	577716	RNA [574706]	Same extraction
7316-905	734521	RNA [568194]	Same extraction
7316-906	588279	RNA [442022]	Same extraction
7316-908	549564	RNA [441623]	Different tissue aliquot
7316-91	570119	RNA [563016]	Same extraction
7316-913	564444	RNA [548799]	Same extraction
7316-914	571422	RNA [568195]	Same extraction
7316-915	571423	RNA [568196]	Same extraction
7316-917	739955	RNA [581276]	Same extraction
7316-918	549562	RNA [447255]	Same tissue aliquot
7316-92	570118	RNA [563015]	Same extraction
7316-921	571436	RNA [569510]	Same extraction
7316-922	549582	RNA [442023]	Different tissue aliquot
7316-923	728283	RNA [727824]	Same extraction
7316-924	739951	RNA [580686]	Same extraction
7316-925	564450	RNA [549468]	Same extraction
7316-929	588327	RNA [582683]	Same extraction
7316-93	588325	RNA [582043]	Same extraction
7316-931	608925	RNA [600527]	Same extraction
7316-932	571438	RNA [569514]	Same extraction
7316-934	654217	RNA [645101]	Same extraction
7316-935	573137	RNA [570431]	Same extraction
7316-936	588442	RNA [585475]	Same extraction
7316-937	549585	RNA [442817]	Different tissue aliquot
7316-938	588443	RNA [585476]	Same extraction
7316-944	549611	RNA [477333]	Same extraction
7316-946	588444	RNA [585477]	Same extraction
7316-948	588445	RNA [585478]	Same extraction
7316-949	734543	RNA [734417]	Same extraction
7316-95	608916	RNA [448714]	Same extraction
7316-950	731928	RNA [731337]	Same extraction
7316-952	734519	RNA [562053]	Same extraction
7316-954	549590	RNA [467900]	Same extraction
7316-956	573138	RNA [570432]	Same extraction
7316-957	571420	RNA [568192]	Same extraction
7316-96	564488	RNA [561566]	Same extraction
7316-965	564475	RNA [560238]	Same extraction
7316-966	731918	RNA [731108]	Same extraction
7316-968	1030646	DNA and RNA listed as virtual	NA
7316-97	588350	RNA [583301]	Same extraction
7316-974	549622	RNA [535807]	Same tissue aliquot
