symbol	geneID	prevSymbols	synonyms	name	organism
WDR82	80335	TMEM113	PRO2730,MST107,MSTP107,PRO34047,WDR82A,SWD2	WD REPEAT DOMAIN 82	human
ADAM23	8745		MDC3	ADAM METALLOPEPTIDASE DOMAIN 23	human
ETV4	2118		E1A-F,E1AF,PEA3	ETS VARIANT 4	human
TNFRSF1A	7132	TNFR1	TNF-R,TNFAR,TNFR60,TNF-R-I,CD120A,TNF-R55	TNF RECEPTOR SUPERFAMILY MEMBER 1A	human
ATF2	1386	CREB2	TREB7,CRE-BP1,HB16	ACTIVATING TRANSCRIPTION FACTOR 2	human
SSPN	8082	KRAG	SPN1,SPN2	SARCOSPAN	human
EIF4A2	1974	EIF4F	DDX2B,EIF4A,BM-010	EUKARYOTIC TRANSLATION INITIATION FACTOR 4A2	human
NFKB2	4791		LYT-10,P52,P105,NF-KB2,P49/P100	NUCLEAR FACTOR KAPPA B SUBUNIT 2	human
BCL2L12	83596			BCL2 LIKE 12	human
DMTF1	9988		DMP1,DMTF,HDMP1,MRUL	CYCLIN D BINDING MYB LIKE TRANSCRIPTION FACTOR 1	human
HYAL2	8692		LUCA-2,LUCA2	HYALURONOGLUCOSAMINIDASE 2	human
ETV1	2115		ER81	ETS VARIANT 1	human
RAD52	5893			RAD52 HOMOLOG, DNA REPAIR PROTEIN	human
CAV1	857	CAV		CAVEOLIN 1	human
CYP2W1	54905		FLJ20359,MGC34287	CYTOCHROME P450 FAMILY 2 SUBFAMILY W MEMBER 1	human
CDK18	5129	PCTK3	PCTAIRE3	CYCLIN DEPENDENT KINASE 18	human
JAG1	182	AGS,JAGL1	AHD,AWS,HJ1,CD339	JAGGED 1	human
EPB41L3	23136		DAL1,KIAA0987,4.1B	ERYTHROCYTE MEMBRANE PROTEIN BAND 4.1 LIKE 3	human
TMPRSS2	7113		PRSS10	TRANSMEMBRANE PROTEASE, SERINE 2	human
CELA1	1990	ELA1		CHYMOTRYPSIN LIKE ELASTASE FAMILY MEMBER 1	human
COL1A2	1278	OI4		COLLAGEN TYPE I ALPHA 2 CHAIN	human
CREB1	1385			CAMP RESPONSIVE ELEMENT BINDING PROTEIN 1	human
CDC25A	993			CELL DIVISION CYCLE 25A	human
SPTAN1	6709			SPECTRIN ALPHA, NON-ERYTHROCYTIC 1	human
LPAR1	1902	EDG2	EDG-2,REC.1.3,VZG-1,GPCR26,MREC1.3,LPA1,GPR26	LYSOPHOSPHATIDIC ACID RECEPTOR 1	human
HDAC2	3066		RPD3,YAF1	HISTONE DEACETYLASE 2	human
IL6	3569	IFNB2	IL-6,BSF2,HGF,HSF	INTERLEUKIN 6	human
ACKR3	57007	CMKOR1,CXCR7	RDC1,GPR159	ATYPICAL CHEMOKINE RECEPTOR 3	human
BIRC2	329	API1	CIAP1,HIAP-2,MIHB,RNF48,C-IAP1	BACULOVIRAL IAP REPEAT CONTAINING 2	human
POU4F1	5457	BRN3A	RDC-1	POU CLASS 4 HOMEOBOX 1	human
PMS2	5395	PMSL2	H_DJ0042M02.9,HNPCC4,MLH4	PMS1 HOMOLOG 2, MISMATCH REPAIR SYSTEM COMPONENT	human
AMER1	139285	FAM123B	RP11-403E24.2,FLJ39827,WTX	APC MEMBRANE RECRUITMENT PROTEIN 1	human
HMGN2P46	283651	C15ORF21	FLJ39426,D-PCA-2	HIGH MOBILITY GROUP NUCLEOSOMAL BINDING DOMAIN 2 PSEUDOGENE 46	human
KLK2	3817			KALLIKREIN RELATED PEPTIDASE 2	human
MYH11	4629		SMMHC,SMHC	MYOSIN HEAVY CHAIN 11	human
CD52	1043	CDW52		CD52 MOLECULE	human
SCN3B	55800		HSA243396	SODIUM VOLTAGE-GATED CHANNEL BETA SUBUNIT 3	human
POU2F2	5452	OTF2	OCT2	POU CLASS 2 HOMEOBOX 2	human
RPL26	6154		L26	RIBOSOMAL PROTEIN L26	human
ELK4	2005		SAP1	ELK4, ETS TRANSCRIPTION FACTOR	human
SCAF1	58506		SR-A1,FLJ00034	SR-RELATED CTD ASSOCIATED FACTOR 1	human
SLC5A5	6528		NIS	SOLUTE CARRIER FAMILY 5 MEMBER 5	human
BACH2	60468		BTBD25	BTB DOMAIN AND CNC HOMOLOG 2	human
SSBP4	170463			SINGLE STRANDED DNA BINDING PROTEIN 4	human
DLST	1743	DLTS		DIHYDROLIPOAMIDE S-SUCCINYLTRANSFERASE	human
FSCN1	6624	SNL	P55,FLJ38511	FASCIN ACTIN-BUNDLING PROTEIN 1	human
FLNB	2317	FLN1L,LRS1	TAP,TABP,ABP-278,FH1	FILAMIN B	human
MAP2	4133		MAP2A,MAP2B,MAP2C	MICROTUBULE ASSOCIATED PROTEIN 2	human
TSPAN8	7103	TM4SF3	CO-029	TETRASPANIN 8	human
NCKIPSD	51517		AF3P21,SPIN90,ORF1,WISH,WASLBP,DIP1	NCK INTERACTING PROTEIN WITH SH3 DOMAIN	human
RARG	5916		RARC,NR1B3	RETINOIC ACID RECEPTOR GAMMA	human
SPAM1	6677		HYAL5,PH-20,SPAG15	SPERM ADHESION MOLECULE 1	human
BCL6	604	ZNF51	ZBTB27,LAZ3,BCL5,BCL6A	B-CELL CLL/LYMPHOMA 6	human
GSTM1	2944	GST1	MU,H-B	GLUTATHIONE S-TRANSFERASE MU 1	human
AXIN2	8313		MGC126582,DKFZP781B0869	AXIN 2	human
RHBG	57127		SLC42A2	RH FAMILY B GLYCOPROTEIN (GENE/PSEUDOGENE)	human
ITGA11	22801		HST18964	INTEGRIN SUBUNIT ALPHA 11	human
CARS	833		CARS1	CYSTEINYL-TRNA SYNTHETASE	human
TRIAP1	51499		P53CSV,WF-1,HSPC132,P53CSV,MDM35	TP53 REGULATED INHIBITOR OF APOPTOSIS 1	human
THBS1	7057		TSP1,THBS,TSP,THBS-1,TSP-1	THROMBOSPONDIN 1	human
DBN1	1627	D0S117E		DREBRIN 1	human
ARHGAP26	23092		GRAF,KIAA0621,OPHN1L,OPHN1L1	RHO GTPASE ACTIVATING PROTEIN 26	human
SORBS2	8470		ARGBP2,KIAA0777	SORBIN AND SH3 DOMAIN CONTAINING 2	human
SDHAF2	54949	PGL2,C11ORF79	FLJ20487,SDH5	SUCCINATE DEHYDROGENASE COMPLEX ASSEMBLY FACTOR 2	human
MLH1	4292	COCA2	HNPCC,FCC2,HNPCC2	MUTL HOMOLOG 1	human
CASP8	841		MCH5,MACH,FLICE,CASP-8	CASPASE 8	human
MKL1	57591		KIAA1438,MAL,MRTF-A,BSAC	MEGAKARYOBLASTIC LEUKEMIA (TRANSLOCATION) 1	human
KLF6	1316	BCD1,ST12,COPEB	CPBP,GBF,ZF9,PAC1	KRUPPEL LIKE FACTOR 6	human
TFAP4	7023		AP-4,BHLHC41	TRANSCRIPTION FACTOR AP-4	human
RTN4IP1	84816		NIMP	RETICULON 4 INTERACTING PROTEIN 1	human
CD248	57124	CD164L1	TEM1	CD248 MOLECULE	human
NFKBIE	4794		IKBE	NFKB INHIBITOR EPSILON	human
CDK11B	984	CDC2L1	CDK11-P110,CDK11-P58,CDK11-P46	CYCLIN DEPENDENT KINASE 11B	human
DUSP2	1844		PAC-1	DUAL SPECIFICITY PHOSPHATASE 2	human
SMAP1	60682		FLJ13159,SMAP-1	SMALL ARFGAP 1	human
ZFHX3	463	ATBF1	ZNF927	ZINC FINGER HOMEOBOX 3	human
SYNE2	23224		SYNE-2,DKFZP434H2235,NESPRIN-2,NUANCE,NUA,KIAA1011,NESP2	SPECTRIN REPEAT CONTAINING NUCLEAR ENVELOPE PROTEIN 2	human
VEGFA	7422	VEGF	VEGF-A,VPF	VASCULAR ENDOTHELIAL GROWTH FACTOR A	human
GMFB	2764		GMF	GLIA MATURATION FACTOR BETA	human
PMEL	6490	SIL,SILV	D12S53E,SI,PMEL17,GP100	PREMELANOSOME PROTEIN	human
ALAD	210		ALADH,PBGS	AMINOLEVULINATE DEHYDRATASE	human
SIPA1	6494		SPA1	SIGNAL-INDUCED PROLIFERATION-ASSOCIATED 1	human
GPC3	2719	SDYS	OCI-5,SGBS,SGBS1,SGB,DGSX	GLYPICAN 3	human
RPN1	6184		OST1	RIBOPHORIN I	human
IRF2BP2	359948		IRF-2BP2	INTERFERON REGULATORY FACTOR 2 BINDING PROTEIN 2	human
SMAD4	4089	MADH4	DPC4	SMAD FAMILY MEMBER 4	human
TOP2B	7155			TOPOISOMERASE (DNA) II BETA	human
MED12	9968	TNRC11,FGS1	CAGH45,HOPA,OPA1,TRAP230,KIAA0192,OKS	MEDIATOR COMPLEX SUBUNIT 12	human
EIF4E	1977	EIF4EL1,EIF4F	EIF4E1	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E	human
IDO1	3620	IDO,INDO		INDOLEAMINE 2,3-DIOXYGENASE 1	human
PPM1E	22843		POPX1,KIAA1072,PP2CH,CAMKP-N	PROTEIN PHOSPHATASE, MG2+/MN2+ DEPENDENT 1E	human
HIVEP3	59269		KRC,KBP1,KBP-1,SHN3,FLJ16752,KIAA1555,ZAS3,SCHNURRI-3,ZNF40C	HUMAN IMMUNODEFICIENCY VIRUS TYPE I ENHANCER BINDING PROTEIN 3	human
ARHGEF2	9181		LFP40,GEF-H1,KIAA0651,P40	RHO/RAC GUANINE NUCLEOTIDE EXCHANGE FACTOR 2	human
AKT1	207		RAC,PKB,PRKBA,AKT	AKT SERINE/THREONINE KINASE 1	human
NKX2-1	7080	NKX2A,BCH,TITF1	TTF-1,TTF1	NK2 HOMEOBOX 1	human
TMPRSS3	64699	DFNB10,DFNB8		TRANSMEMBRANE PROTEASE, SERINE 3	human
PLCH2	9651	PLCL4	KIAA0450,PLCETA2,RP3-395M20.1,PLC-ETA2	PHOSPHOLIPASE C ETA 2	human
MAL	4118			MAL, T-CELL DIFFERENTIATION PROTEIN	human
MIR10B	406903	MIRN10B	HSA-MIR-10B	MICRORNA 10B	human
BSPRY	54836		FLJ20150	B-BOX AND SPRY DOMAIN CONTAINING	human
CDK11A	728642	CDC2L3,CDC2L2	PITSLRE,CDK11-P110,CDK11-P58,CDK11-P46,P58GTA	CYCLIN DEPENDENT KINASE 11A	human
MAPK13	5603	PRKM13	SAPK4,P38DELTA	MITOGEN-ACTIVATED PROTEIN KINASE 13	human
ARMCX3	51566		ALEX3,GASP6	ARMADILLO REPEAT CONTAINING, X-LINKED 3	human
SLC38A2	54407		SAT2,ATA2,KIAA1382,SNAT2	SOLUTE CARRIER FAMILY 38 MEMBER 2	human
CHD5	26038			CHROMODOMAIN HELICASE DNA BINDING PROTEIN 5	human
TCL1A	8115		TCL1	T-CELL LEUKEMIA/LYMPHOMA 1A	human
BIN1	274	AMPHL	SH3P9,AMPH2	BRIDGING INTEGRATOR 1	human
TAL2	6887		BHLHA19	TAL BHLH TRANSCRIPTION FACTOR 2	human
GRB2	2885		NCKAP2	GROWTH FACTOR RECEPTOR BOUND PROTEIN 2	human
NACA	4666		NACA1	NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX ALPHA SUBUNIT	human
HSPBAP1	79663		FLJ22623,PASS1	HSPB1 ASSOCIATED PROTEIN 1	human
MAPK3	5595	PRKM3	ERK1,P44MAPK,P44ERK1	MITOGEN-ACTIVATED PROTEIN KINASE 3	human
RAD23A	5886		HHR23A,MGC111083	RAD23 HOMOLOG A, NUCLEOTIDE EXCISION REPAIR PROTEIN	human
ZSCAN22	342945	ZNF50,HKR2		ZINC FINGER AND SCAN DOMAIN CONTAINING 22	human
EIF3F	8665	EIF3S5	EIF3-EPSILON,EIF3-P47,EIF3F	EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT F	human
MYCN	4613	NMYC	BHLHE37,N-MYC,MYCNOT	V-MYC AVIAN MYELOCYTOMATOSIS VIRAL ONCOGENE NEUROBLASTOMA DERIVED HOMOLOG	human
CSF1	1435		M-CSF,MCSF,MGC31930	COLONY STIMULATING FACTOR 1	human
FOXC2	2303	FKHL14	MFH-1	FORKHEAD BOX C2	human
SERPINB5	5268	PI5	MASPIN	SERPIN FAMILY B MEMBER 5	human
GAS1	2619			GROWTH ARREST SPECIFIC 1	human
FGF11	2256		FHF3,FLJ16061,MGC45269,MGC102953	FIBROBLAST GROWTH FACTOR 11	human
SATB1	6304			SATB HOMEOBOX 1	human
MAPK6	5597	PRKM6	ERK3,P97MAPK,HST17250	MITOGEN-ACTIVATED PROTEIN KINASE 6	human
KDM4C	23081	JMJD2C	GASC1,KIAA0780,TDRD14C	LYSINE DEMETHYLASE 4C	human
NLRC4	58484	CARD12	CLAN1,IPAF,CLANA,CLANB,CLANC,CLAND,CLR2.1,CLAN	NLR FAMILY CARD DOMAIN CONTAINING 4	human
WDR77	79084		MEP50,P44	WD REPEAT DOMAIN 77	human
ABO	28		A3GALNT,A3GALT1	ABO, ALPHA 1-3-N-ACETYLGALACTOSAMINYLTRANSFERASE AND ALPHA 1-3-GALACTOSYLTRANSFERASE	human
LOXL2	4017		WS9-14	LYSYL OXIDASE LIKE 2	human
GIP	2695			GASTRIC INHIBITORY POLYPEPTIDE	human
NUP214	8021		CAIN,CAN,D9S46E,N214	NUCLEOPORIN 214	human
HFE	3077		HLA-H	HEMOCHROMATOSIS	human
STK11	6794		PJS,LKB1	SERINE/THREONINE KINASE 11	human
VRK1	7443			VACCINIA RELATED KINASE 1	human
INPPL1	3636		SHIP2	INOSITOL POLYPHOSPHATE PHOSPHATASE LIKE 1	human
ATIC	471		PURH,AICARFT,IMPCHASE	5-AMINOIMIDAZOLE-4-CARBOXAMIDE RIBONUCLEOTIDE FORMYLTRANSFERASE/IMP CYCLOHYDROLASE	human
ECT2	1894		ARHGEF31	EPITHELIAL CELL TRANSFORMING 2	human
NNMT	4837			NICOTINAMIDE N-METHYLTRANSFERASE	human
ARAFP2	644000	ARAF2,ARAFPS,ARAF2P	PKS1	ARAF PSEUDOGENE 2	human
MNX1	3110	HLXB9	HB9,HOXHB9,SCRA1	MOTOR NEURON AND PANCREAS HOMEOBOX 1	human
L1CAM	3897	HSAS1,SPG1,HSAS,MASA,MIC5,S10	CD171	L1 CELL ADHESION MOLECULE	human
CYP1A1	1543	CYP1	P450DX,P1-450,P450-C,CP11	CYTOCHROME P450 FAMILY 1 SUBFAMILY A MEMBER 1	human
ZMIZ1	57178	RAI17	RP11-519K18.1,KIAA1224,FLJ13541,HZIMP10,ZIMP10,MIZ	ZINC FINGER MIZ-TYPE CONTAINING 1	human
CCR1	1230	SCYAR1,CMKBR1	CKR-1,MIP1AR,CD191	C-C MOTIF CHEMOKINE RECEPTOR 1	human
FRYL	285527	KIAA0826	DKFZP686E205,AF4P12,MOR2	FRY LIKE TRANSCRIPTION COACTIVATOR	human
ATF5	22809			ACTIVATING TRANSCRIPTION FACTOR 5	human
SOX8	30812			SRY-BOX 8	human
PTGS2	5743		COX2	PROSTAGLANDIN-ENDOPEROXIDE SYNTHASE 2	human
CDK16	5127	PCTK1	PCTAIRE,PCTAIRE1,PCTGAIRE,FLJ16665	CYCLIN DEPENDENT KINASE 16	human
RNASET2	8635		RNASE6PL,FLJ10907,BA514O12.3	RIBONUCLEASE T2	human
LAPTM5	7805			LYSOSOMAL PROTEIN TRANSMEMBRANE 5	human
ZNF384	171017	TNRC1	CAGH1A,CIZ,NMP4,NP	ZINC FINGER PROTEIN 384	human
PTCH2	8643			PATCHED 2	human
BTK	695	AGMX1,IMD1	ATK,XLA,PSCTK1	BRUTON TYROSINE KINASE	human
BLM	641		BS,RECQL3,RECQ2	BLOOM SYNDROME RECQ LIKE HELICASE	human
CYP2D6	1565	CYP2DL1,CYP2D7P2,CYP2D7BP,CYP2D8P2,CYP2D7AP	CPD6,P450-DB1,CYP2D,P450C2D	CYTOCHROME P450 FAMILY 2 SUBFAMILY D MEMBER 6	human
DNASE1L3	1776		DNAS1L3,LSD	DEOXYRIBONUCLEASE 1 LIKE 3	human
BHLHE41	79365	BHLHB3	DEC2,SHARP-1,SHARP1,BHLHE41	BASIC HELIX-LOOP-HELIX FAMILY MEMBER E41	human
ATF3	467			ACTIVATING TRANSCRIPTION FACTOR 3	human
RB1CC1	9821		KIAA0203,CC1,DRAGOU14,FIP200,ATG17,PPP1R131	RB1 INDUCIBLE COILED-COIL 1	human
MBD2	8932			METHYL-CPG BINDING DOMAIN PROTEIN 2	human
EPS15L1	58513		EPS15R	EPIDERMAL GROWTH FACTOR RECEPTOR PATHWAY SUBSTRATE 15 LIKE 1	human
PTGIS	5740		PGIS,CYP8A1	PROSTAGLANDIN I2 SYNTHASE	human
ALS2CL	259173		FLJ36525,RN49018,DKFZP686I0110	ALS2 C-TERMINAL LIKE	human
CR2	1380		CD21,C3DR	COMPLEMENT C3D RECEPTOR 2	human
TACC1	6867			TRANSFORMING ACIDIC COILED-COIL CONTAINING PROTEIN 1	human
GUCY1A2	2977	GUC1A2	GC-SA2	GUANYLATE CYCLASE 1 SOLUBLE SUBUNIT ALPHA 2	human
EPCAM	4072	M4S1,MIC18,TACSTD1	LY74,TROP1,GA733-2,EGP34,EGP40,EGP-2,KSA,CD326,EP-CAM,HEA125,KS1/4,MK-1,MH99,MOC31,323/A3,17-1A,TACST-1,CO-17A,ESA	EPITHELIAL CELL ADHESION MOLECULE	human
CTHRC1	115908			COLLAGEN TRIPLE HELIX REPEAT CONTAINING 1	human
SEMA3F	6405		SEMAK,SEMA4	SEMAPHORIN 3F	human
SLC26A11	284129			SOLUTE CARRIER FAMILY 26 MEMBER 11	human
COL19A1	1310			COLLAGEN TYPE XIX ALPHA 1 CHAIN	human
SGMS1	259230	TMEM23	MOB,MGC17342,SMS1	SPHINGOMYELIN SYNTHASE 1	human
FAM117A	81558			FAMILY WITH SEQUENCE SIMILARITY 117 MEMBER A	human
HERPUD1	9709		KIAA0025,MIF1,HERP,SUP	HOMOCYSTEINE INDUCIBLE ER PROTEIN WITH UBIQUITIN LIKE DOMAIN 1	human
LACTB	114294	MRPL56	FLJ14902	LACTAMASE BETA	human
SRSF2	6427	SFRS2	SC-35,SC35,PR264,SFRS2A	SERINE AND ARGININE RICH SPLICING FACTOR 2	human
NLRP2	55655	NALP2	FLJ20510,PYPAF2,NBS1,PAN1,CLR19.9	NLR FAMILY PYRIN DOMAIN CONTAINING 2	human
SNCG	6623		BCSG1,SR,PERSYN	SYNUCLEIN GAMMA	human
SLC39A6	25800		LIV-1	SOLUTE CARRIER FAMILY 39 MEMBER 6	human
VAV2	7410			VAV GUANINE NUCLEOTIDE EXCHANGE FACTOR 2	human
CTSL	1514	CTSL1	FLJ31037	CATHEPSIN L	human
CAMKK2	10645		CAMKK,KIAA0787,CAMKKB,MGC15254	CALCIUM/CALMODULIN DEPENDENT PROTEIN KINASE KINASE 2	human
PSMD2	5708		S2,P97,TRAP2,MGC14274,RPN1	PROTEASOME 26S SUBUNIT, NON-ATPASE 2	human
MSN	4478			MOESIN	human
PEG3	5178		ZKSCAN22,KIAA0287,ZNF904,ZSCAN24	PATERNALLY EXPRESSED 3	human
VCL	7414			VINCULIN	human
CUL1	8454			CULLIN 1	human
SYK	6850			SPLEEN ASSOCIATED TYROSINE KINASE	human
IGF1R	3480		JTK13,CD221,IGFIR,MGC18216,IGFR	INSULIN LIKE GROWTH FACTOR 1 RECEPTOR	human
STARD8	9754		KIAA0189,ARHGAP38	STAR RELATED LIPID TRANSFER DOMAIN CONTAINING 8	human
GREM1	26585	CKTSF1B1,CRAC1	DRM,GREMLIN,DAND2,HMPS	GREMLIN 1, DAN FAMILY BMP ANTAGONIST	human
SHC4	399694		RALP,SHCD	SHC ADAPTOR PROTEIN 4	human
NTRK3	4916		TRKC	NEUROTROPHIC RECEPTOR TYROSINE KINASE 3	human
FAT1	2195	FAT	CDHF7,CDHR8	FAT ATYPICAL CADHERIN 1	human
FBXO5	26271		FBX5,FBXO31,EMI1	F-BOX PROTEIN 5	human
OMD	4958		OSTEOADHERIN,SLRR2C	OSTEOMODULIN	human
RGS19	10287		GAIP,RGSGAIP	REGULATOR OF G-PROTEIN SIGNALING 19	human
EBF1	1879	EBF	OLF1	EARLY B-CELL FACTOR 1	human
RAP2A	5911	RAP2	K-REV	RAP2A, MEMBER OF RAS ONCOGENE FAMILY	human
PCED1B	91523	FAM113B	MGC16044	PC-ESTERASE DOMAIN CONTAINING 1B	human
FLI1	2313		SIC-1,EWSR2	FLI-1 PROTO-ONCOGENE, ETS TRANSCRIPTION FACTOR	human
PTPN7	5778		HEPTP,LC-PTP	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 7	human
PGF	5228	PGFL	PLGF,PLGF-2,PLGF,SHGC-10760,D12S1900,PIGF	PLACENTAL GROWTH FACTOR	human
NPM1	4869		B23,NPM	NUCLEOPHOSMIN	human
AKR1C3	8644	HSD17B5	KIAA0119,DDX,HAKRB,PGFS	ALDO-KETO REDUCTASE FAMILY 1 MEMBER C3	human
TDGF1P3	6998	TDGF3	TDGF2,CR-3,CRIPTO-3,CRIPTO3	TERATOCARCINOMA-DERIVED GROWTH FACTOR 1 PSEUDOGENE 3	human
AKAP9	10142		KIAA0803,AKAP350,AKAP450,CG-NAP,YOTIAO,HYPERION,PRKA9,MU-RMS-40.16A,PPP1R45,LQT11	A-KINASE ANCHORING PROTEIN 9	human
GABPB1	2553	GABPB2	E4TF1-47,GABPB	GA BINDING PROTEIN TRANSCRIPTION FACTOR BETA SUBUNIT 1	human
HOXA11	3207	HOX1I,HOX1		HOMEOBOX A11	human
RMI2	116028	C16ORF75	MGC24665,BLAP18	RECQ MEDIATED GENOME INSTABILITY 2	human
MKRN3	7681	ZNF127,D15S9	RNF63,ZFP127,MGC88288	MAKORIN RING FINGER PROTEIN 3	human
ALOX5	240		5-LOX	ARACHIDONATE 5-LIPOXYGENASE	human
FGF8	2253		AIGF	FIBROBLAST GROWTH FACTOR 8	human
PLCB2	5330		FLJ38135	PHOSPHOLIPASE C BETA 2	human
DDX5	1655	HLR1,G17P1	P68	DEAD-BOX HELICASE 5	human
SPA17	53340		SP17,CT22	SPERM AUTOANTIGENIC PROTEIN 17	human
CCNG1	900	CCNG		CYCLIN G1	human
VTI1A	143187		MVTI1,VTI1A,VTI1-RP2	VESICLE TRANSPORT THROUGH INTERACTION WITH T-SNARES 1A	human
MME	4311		CALLA,CD10,NEP	MEMBRANE METALLOENDOPEPTIDASE	human
SLC44A4	80736	C6ORF29	NG22,CTL4,FLJ14491,TPPT	SOLUTE CARRIER FAMILY 44 MEMBER 4	human
FBLN1	2192		FBLN	FIBULIN 1	human
HRAS	3265	HRAS1		HRAS PROTO-ONCOGENE, GTPASE	human
RHOG	391	ARHG	RHOG,MGC125835,MGC125836	RAS HOMOLOG FAMILY MEMBER G	human
SH3GL2	6456		SH3P4,SH3D2A,CNSA2,EEN-B1	SH3 DOMAIN CONTAINING GRB2 LIKE 2, ENDOPHILIN A1	human
MYBBP1A	10514		P160,PAP2,FLJ37886	MYB BINDING PROTEIN 1A	human
PLAGL1	5325		ZAC,LOT1	PLAG1 LIKE ZINC FINGER 1	human
OLFM4	10562		OLFD,GW112,GC1	OLFACTOMEDIN 4	human
ROS1	6098		MCF3,ROS,C-ROS-1	ROS PROTO-ONCOGENE 1, RECEPTOR TYROSINE KINASE	human
ASNS	440			ASPARAGINE SYNTHETASE (GLUTAMINE-HYDROLYZING)	human
CNTRL	11064	CEP1,CEP110		CENTRIOLIN	human
ERVW-1	30816	ERVWE1	HERV-W,HERV-W-ENV,HERVW,HERV-7Q	ENDOGENOUS RETROVIRUS GROUP W MEMBER 1	human
IGH	3492	IGHDY1,IGH@		IMMUNOGLOBULIN HEAVY LOCUS	human
ABCA1	19	ABC1,HDLDT1	TGD	ATP BINDING CASSETTE SUBFAMILY A MEMBER 1	human
NME3	4832		DR-NM23,NM23-H3,NDPKC	NME/NM23 NUCLEOSIDE DIPHOSPHATE KINASE 3	human
FGF9	2254			FIBROBLAST GROWTH FACTOR 9	human
POU6F2	11281		RPF-1	POU CLASS 6 HOMEOBOX 2	human
CXCL1	2919	MGSA,GRO1,FSP	SCYB1,GROA,MGSA-A,NAP-3	C-X-C MOTIF CHEMOKINE LIGAND 1	human
GNAQ	2776		G-ALPHA-Q,GAQ	G PROTEIN SUBUNIT ALPHA Q	human
BAK1	578	CDN1	BCL2L7,BAK	BCL2 ANTAGONIST/KILLER 1	human
BORCS8-MEF2B	4207	MEF2BNB-MEF2B		BORCS8-MEF2B READTHROUGH	human
MRVI1	10335		JAW1L,IRAG	MURINE RETROVIRUS INTEGRATION SITE 1 HOMOLOG	human
UHRF2	115426		RNF107,NIRF,URF2,MGC33463,TDRD23	UBIQUITIN LIKE WITH PHD AND RING FINGER DOMAINS 2	human
TP53INP1	94241		DKFZP434M1317,FLJ22139,P53DINP1,SIP,TP53INP1A,TP53INP1B,TEAP	TUMOR PROTEIN P53 INDUCIBLE NUCLEAR PROTEIN 1	human
ELAC2	60528		FLJ10530,HPC2	ELAC RIBONUCLEASE Z 2	human
H3F3A	3020	H3F3	H3.3A	H3 HISTONE FAMILY MEMBER 3A	human
NOTCH2	4853			NOTCH 2	human
GAS7	8522		KIAA0394,MGC1348	GROWTH ARREST SPECIFIC 7	human
HSPA9	3313	HSPA9B	GRP75,PBP74,MOT-2,MTHSP75	HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 9	human
RBBP7	5931		RBAP46	RB BINDING PROTEIN 7, CHROMATIN REMODELING FACTOR	human
DIO2	1734		TXDI2,SELY	IODOTHYRONINE DEIODINASE 2	human
ANG	283		RNASE5,RAA1	ANGIOGENIN	human
KDM3A	55818	JMJD1,JMJD1A	TSGA,KIAA0742,JHMD2A	LYSINE DEMETHYLASE 3A	human
SFMBT2	57713		KIAA1617	SCM-LIKE WITH FOUR MBT DOMAINS 2	human
CREBBP	1387	RSTS	RTS,CBP,KAT3A	CREB BINDING PROTEIN	human
CUX1	1523	CUTL1	CDP,CDP1,CUX,CUT,CLOX,CDP/CUT,CDP/CUX,CUX/CDP,CASP,GOLIM6	CUT LIKE HOMEOBOX 1	human
PTPN6	5777		HCP,HCPH,PTP-1C,SHP-1,SHP1	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 6	human
NELFCD	51497	TH1L	HSPC130,TH1,NELF-C,NELF-D	NEGATIVE ELONGATION FACTOR COMPLEX MEMBER C/D	human
CDX2	1045	CDX3		CAUDAL TYPE HOMEOBOX 2	human
CD9	928	MIC3	BA2,P24,TSPAN29,MRP-1	CD9 MOLECULE	human
MIR7-1	407043	MIRN7-1	HSA-MIR-7-1	MICRORNA 7-1	human
MIER1	57708		HMI-ER1,MI-ER1,KIAA1610	MIER1 TRANSCRIPTIONAL REGULATOR	human
GAK	2580		DNAJC26	CYCLIN G ASSOCIATED KINASE	human
DNAJC24	120526	ZCSL3,DPH4	JJJ3	DNAJ HEAT SHOCK PROTEIN FAMILY (HSP40) MEMBER C24	human
FANCD2	2177	FACD,FANCD	FAD,FA-D2	FANCONI ANEMIA COMPLEMENTATION GROUP D2	human
GRP	2922			GASTRIN RELEASING PEPTIDE	human
PLPP3	8613	PPAP2B	PAP-2B,LPP3	PHOSPHOLIPID PHOSPHATASE 3	human
FAT2	2196		MEGF1,CDHF8,HFAT2,CDHR9	FAT ATYPICAL CADHERIN 2	human
PDGFA	5154		PDGF1,PDGF-A	PLATELET DERIVED GROWTH FACTOR SUBUNIT A	human
NUTM1	256646	C15ORF55	NUT,DKFZP434O192,FAM22H	NUT MIDLINE CARCINOMA FAMILY MEMBER 1	human
PCSK7	9159		PC7,PC8,LPC,SPC7	PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 7	human
KITLG	4254	MGF	SCF,SF,KITL,KL-1,FPH2	KIT LIGAND	human
AMFR	267		RNF45,GP78	AUTOCRINE MOTILITY FACTOR RECEPTOR	human
