chr	chromosome_arm	dominant_status	gistic_arm_status
chr19_KV575257v1_alt	NA	uncallable	NA
chr19_KV575254v1_alt	NA	uncallable	NA
chr18_KZ208922v1_fix	NA	uncallable	NA
chr4_KQ090013v1_alt	NA	uncallable	NA
chr12_KN538370v1_fix	NA	uncallable	NA
chr10_KN538366v1_fix	NA	uncallable	NA
chr6_KQ090017v1_alt	NA	uncallable	NA
chr16_KZ208921v1_alt	NA	uncallable	NA
chr12_KZ208917v1_fix	NA	uncallable	NA
chr16_KQ090026v1_alt	NA	uncallable	NA
chrY_KZ208923v1_fix	NA	uncallable	NA
chr13_KN196483v1_fix	NA	uncallable	NA
chr10_KN538365v1_fix	NA	uncallable	NA
chr16_KZ559113v1_fix	NA	uncallable	NA
chr11_KZ559108v1_fix	NA	uncallable	NA
chr3_KZ559103v1_alt	NA	uncallable	NA
chr11_KZ559110v1_alt	NA	uncallable	NA
chr11_KZ559109v1_fix	NA	uncallable	NA
chr18_KZ559115v1_fix	NA	uncallable	NA
chr3_KZ559102v1_alt	NA	uncallable	NA
chr3_KZ559105v1_alt	NA	uncallable	NA
chr11_KZ559111v1_alt	NA	uncallable	NA
chr7_KZ559106v1_alt	NA	uncallable	NA
chr3_KZ559101v1_alt	NA	uncallable	NA
chr18_KZ559116v1_alt	NA	uncallable	NA
chr12_KZ559112v1_alt	NA	uncallable	NA
chr17_KZ559114v1_alt	NA	uncallable	NA
chr3_KZ559104v1_fix	NA	uncallable	NA
chr8_KZ559107v1_alt	NA	uncallable	NA
chr1_KZ559100v1_fix	NA	uncallable	NA
